[0, 8 11]
[1, 123 58 | 77 57]
[2, 57 123 | 58 72]
[3, 74 57 | 131 58]
[4, 58 99 | 57 75]
[5, 57 57 | 58 121]
[6, 57 30 | 58 123]
[7, 103 57 | 77 58]
[8, 42]
[9, 57 112 | 58 90]
[10, 57 24 | 58 62]
[11, 42 31]
[12, 5 58 | 62 57]
[13, 34 57 | 78 58]
[14, 58 103 | 57 30]
[15, 77 57 | 24 58]
[16, 30 58 | 82 57]
[17, 57 123 | 58 54]
[18, 57 60 | 58 22]
[19, 5 58 | 102 57]
[20, 84 57 | 13 58]
[21, 57 98 | 58 120]
[22, 77 57 | 125 58]
[23, 57 54 | 58 24]
[24, 58 121 | 57 58]
[25, 57 30 | 58 102]
[26, 52 57 | 108 58]
[27, 57 30]
[28, 95 57 | 23 58]
[29, 54 57 | 103 58]
[30, 57 57]
[31, 55 58 | 81 57]
[32, 125 57 | 123 58]
[33, 58 101 | 57 26]
[34, 58 5 | 57 62]
[35, 109 57 | 106 58]
[36, 72 57 | 123 58]
[37, 58 82 | 57 125]
[38, 58 94 | 57 30]
[39, 58 66 | 57 44]
[40, 57 104 | 58 45]
[41, 63 57 | 19 58]
[42, 119 58 | 111 57]
[43, 30 58 | 123 57]
[44, 94 58 | 24 57]
[45, 5 57 | 94 58]
[46, 57 18 | 58 130]
[47, 57 57 | 58 58]
[48, 103 58 | 94 57]
[49, 57 12 | 58 6]
[50, 89 57 | 115 58]
[51, 58 77 | 57 47]
[52, 10 58 | 48 57]
[53, 58 47 | 57 94]
[54, 57 121 | 58 57]
[55, 57 9 | 58 100]
[56, 85 58 | 3 57]
[57, a]
[58, b]
[59, 57 72 | 58 102]
[60, 77 57 | 82 58]
[61, 57 128 | 58 39]
[62, 58 58 | 57 58]
[63, 24 58 | 62 57]
[64, 58 54 | 57 72]
[65, 62 58]
[66, 82 57 | 47 58]
[67, 94 57 | 125 58]
[68, 82 58 | 94 57]
[69, 96 58 | 43 57]
[70, 38 58 | 37 57]
[71, 110 57 | 46 58]
[72, 58 58]
[73, 57 56 | 58 21]
[74, 30 57 | 77 58]
[75, 58 1 | 57 67]
[76, 125 57 | 102 58]
[77, 57 58]
[78, 57 47 | 58 103]
[79, 57 5 | 58 103]
[80, 54 58 | 72 57]
[81, 57 105 | 58 73]
[82, 57 58 | 57 57]
[83, 57 36 | 58 79]
[84, 58 16 | 57 66]
[85, 127 58 | 132 57]
[86, 58 5 | 57 125]
[87, 57 80 | 58 51]
[88, 58 97 | 57 129]
[89, 41 57 | 28 58]
[90, 122 57 | 87 58]
[91, 24 58 | 123 57]
[92, 58 62 | 57 30]
[93, 58 61 | 57 4]
[94, 57 57 | 58 57]
[95, 123 58 | 123 57]
[96, 57 77 | 58 72]
[97, 57 60 | 58 116]
[98, 57 86 | 58 2]
[99, 58 92 | 57 16]
[100, 57 88 | 58 35]
[101, 58 107 | 57 117]
[102, 121 121]
[103, 57 121 | 58 58]
[104, 24 121]
[105, 58 113 | 57 20]
[106, 57 63 | 58 76]
[107, 86 58 | 17 57]
[108, 58 10 | 57 118]
[109, 116 58 | 96 57]
[110, 57 83 | 58 124]
[111, 50 57 | 93 58]
[112, 58 70 | 57 69]
[113, 57 126 | 58 40]
[114, 123 57 | 62 58]
[115, 58 133 | 57 49]
[116, 58 103 | 57 77]
[117, 53 58 | 91 57]
[118, 102 57 | 125 58]
[119, 58 71 | 57 33]
[120, 22 57 | 64 58]
[121, 58 | 57]
[122, 14 58 | 68 57]
[123, 58 57]
[124, 118 57 | 7 58]
[125, 57 58 | 58 57]
[126, 15 57 | 59 58]
[127, 121 54]
[128, 65 58 | 32 57]
[129, 25 58 | 29 57]
[130, 27 58 | 53 57]
[131, 30 57 | 62 58]
[132, 103 58 | 47 57]
[133, 58 114 | 57 44]
